"","scientific_name","taxa_data.kingdom.i.","taxa_data.class.i.","taxa_data.order.i.","RN","original","taxa_data.family.i.","taxa_data.taxonomicStatus.i.","genus","common"
"66","Ardops nichollsi","Animalia","Mammalia","Chiroptera","3814","Ardops nichollsi","Phyllostomidae","accepted name","Ardops","Chiroptera"
"67","Oryctolagus cuniculus","Animalia","Mammalia","Lagomorpha","988","Oryctolagus cuniculus","Leporidae","accepted name","Oryctolagus","Oryctolagus cuniculus"
"68","Oryctolagus cuniculus","Animalia","Mammalia","Lagomorpha","3896","Oryctolagus cuniculus","Leporidae","accepted name","Oryctolagus","Mammalia"
"69","Vulpes vulpes","Animalia","Mammalia","Carnivora","3896","Vulpes vulpes","Canidae","accepted name","Vulpes","Mammalia"
"70","Capra hircus","Animalia","Mammalia","Artiodactyla","3896","Capra hircus","Bovidae","accepted name","Capra","Mammalia"
"71","Petrogale xanthopus","Animalia","Mammalia","Diprotodontia","3896","Petrogale xanthopus","Macropodidae","accepted name","Petrogale","Mammalia"
"72","Oryctolagus cuniculus","Animalia","Mammalia","Lagomorpha","2363","Oryctolagus cuniculus","Leporidae","accepted name","Oryctolagus","Mammalia"
"73","Mustela nivalis","Animalia","Mammalia","Carnivora","2363","Mustela nivalis","Mustelidae","accepted name","Mustela","Mammalia"
"74","Felis silvestris","Animalia","Mammalia","Carnivora","2363","Felis silvestris","Felidae","accepted name","Felis","Mammalia"
"75","Vulpes vulpes","Animalia","Mammalia","Carnivora","2363","Vulpes vulpes","Canidae","accepted name","Vulpes","Mammalia"
"76","Felis catus","Animalia","Mammalia","Carnivora","2363","Felis catus","Felidae","accepted name","Felis","Mammalia"
"77","Meles meles","Animalia","Mammalia","Carnivora","2363","Meles meles","Mustelidae","accepted name","Meles","Mammalia"
"78","Martes foina","Animalia","Mammalia","Carnivora","2363","Martes foina","Mustelidae","accepted name","Martes","Mammalia"
"79","Mustela putorius","Animalia","Mammalia","Carnivora","2363","Mustela putorius","Mustelidae","accepted name","Mustela","Mammalia"
"80","Genetta genetta","Animalia","Mammalia","Carnivora","2363","Genetta genetta","Viverridae","accepted name","Genetta","Mammalia"
"81","Tamiasciurus hudsonicus","Animalia","Mammalia","Rodentia","696","Tamiasciurus hudsonicus","Sciuridae","accepted name","Tamiasciurus","Tamiasciurus hudsonicus"
"82","Tamiasciurus hudsonicus","Animalia","Mammalia","Rodentia","3386","Tamiasciurus hudsonicus","Sciuridae","accepted name","Tamiasciurus","Tamiasciurus hudsonicus"
"83","Glaucomys sabrinus","Animalia","Mammalia","Rodentia","689","Glaucomys sabrinus","Sciuridae","accepted name","Glaucomys","Mammalia"
"84","Peromyscus maniculatus","Animalia","Mammalia","Rodentia","689","Peromyscus maniculatus","Cricetidae","accepted name","Peromyscus","Mammalia"
"85","Martes americana","Animalia","Mammalia","Carnivora","689","Martes americana","Mustelidae","accepted name","Martes","Mammalia"
"86","Glaucomys sabrinus","Animalia","Mammalia","Rodentia","4005","Glaucomys sabrinus","Sciuridae","accepted name","Glaucomys","Glaucomys"
"87","Glaucomys sabrinus","Animalia","Mammalia","Rodentia","4005","G. sabrinus","Sciuridae","accepted name","Glaucomys","Glaucomys"
"88","Perognathus parvus","Animalia","Mammalia","Rodentia","3304","Perognathus parvus","Heteromyidae","accepted name","Perognathus","Perognathus parvus"
"89","Peromyscus maniculatus","Animalia","Mammalia","Rodentia","3327","Peromyscus maniculatus","Cricetidae","accepted name","Peromyscus","Cricetidae"
