"","scientific_name","taxa_data.kingdom.i.","taxa_data.class.i.","taxa_data.order.i.","RN","original","taxa_data.family.i.","taxa_data.taxonomicStatus.i.","genus","common"
"301","Hylaeamys megacephalus","Animalia","Mammalia","Rodentia","3968","O. megacephalus","Cricetidae","accepted name","Hylaeamys","Mammalia"
"302","Proechimys guyannensis","Animalia","Mammalia","Rodentia","3968","P. cayennensis","Echimyidae","accepted name","Proechimys","Mammalia"
"303","Gracilinanus agilis","Animalia","Mammalia","Didelphimorphia","3956","Gracilinanus agilis","Didelphidae","accepted name","Gracilinanus","Mammalia"
"304","Monodelphis domestica","Animalia","Mammalia","Didelphimorphia","3956","Monodelphis domestica","Didelphidae","accepted name","Monodelphis","Mammalia"
"305","Clyomys laticeps","Animalia","Mammalia","Rodentia","3956","Clyomys laticeps","Echimyidae","accepted name","Clyomys","Mammalia"
"306","Oecomys mamorae","Animalia","Mammalia","Rodentia","3956","Oecomys mamorae","Cricetidae","accepted name","Oecomys","Mammalia"
"307","Thylamys macrurus","Animalia","Mammalia","Didelphimorphia","3956","Thylamys macrurus","Didelphidae","accepted name","Thylamys","Mammalia"
"308","Thrichomys pachyurus","Animalia","Mammalia","Rodentia","3956","Thrichomys pachyurus","Echimyidae","accepted name","Thrichomys","Mammalia"
"309","Oecomys mamorae","Animalia","Mammalia","Rodentia","3956","O. mamorae","Cricetidae","accepted name","Oecomys","Mammalia"
"310","Gracilinanus agilis","Animalia","Mammalia","Didelphimorphia","3956","G. agilis","Didelphidae","accepted name","Gracilinanus","Mammalia"
"311","Thrichomys pachyurus","Animalia","Mammalia","Rodentia","3956","T. pachyurus","Echimyidae","accepted name","Thrichomys","Mammalia"
"312","Dromiciops gliroides","Animalia","Mammalia","Microbiotheria","4112","Dromiciops gliroides","Microbiotheriidae","accepted name","Dromiciops","Dromiciops"
"313","Dromiciops gliroides","Animalia","Mammalia","Microbiotheria","4112","D. gliroides","Microbiotheriidae","accepted name","Dromiciops","Dromiciops"
"314","Lemur catta","Animalia","Mammalia","Primates","1495","Lemur catta","Lemuridae","accepted name","Lemur","Lemur catta"
"315","Alouatta caraya","Animalia","Mammalia","Primates","2572","Alouatta caraya","Atelidae","accepted name","Alouatta","Alouatta caraya"
"316","Alouatta palliata","Animalia","Mammalia","Primates","1493","Alouatta palliata","Atelidae","accepted name","Alouatta","Primates"
"317","Cebus capucinus","Animalia","Mammalia","Primates","1493","Cebus capucinus","Cebidae","accepted name","Cebus","Primates"
"318","Alouatta seniculus","Animalia","Mammalia","Primates","1492","Alouatta seniculus","Atelidae","accepted name","Alouatta","Alouatta seniculus"
