"","scientific_name","taxa_data.kingdom.i.","taxa_data.class.i.","taxa_data.order.i.","RN","original","taxa_data.family.i.","taxa_data.taxonomicStatus.i.","genus","common"
"326","Pan troglodytes","Animalia","Mammalia","Primates","3794","Pan troglodytes","Hominidae","accepted name","Pan","Hominidae"
"327","Gorilla beringei","Animalia","Mammalia","Primates","3794","Gorilla beringei","Hominidae","accepted name","Gorilla","Hominidae"
"328","Cavia aperea","Animalia","Mammalia","Rodentia","3827","Cavia aperea","Caviidae","accepted name","Cavia","Cavia aperea"
"329","Octodon degus","Animalia","Mammalia","Rodentia","3941","Octodon degus","Octodontidae","accepted name","Octodon","Rodentia"
"330","Phyllotis darwini","Animalia","Mammalia","Rodentia","3941","Phyllotis darwini","Cricetidae","accepted name","Phyllotis","Rodentia"
"331","Octodon degus","Animalia","Mammalia","Rodentia","3941","O. degus","Octodontidae","accepted name","Octodon","Rodentia"
"332","Abrothrix longipilis","Animalia","Mammalia","Rodentia","3941","Akodon longipilis","Cricetidae","accepted name","Abrothrix","Rodentia"
"333","Abrothrix olivaceus","Animalia","Mammalia","Rodentia","3941","Akodon olivaceus","Cricetidae","accepted name","Abrothrix","Rodentia"
"334","Elephantulus edwardii","Animalia","Mammalia","Macroscelidea","1488","Elephantulus edwardii","Macroscelididae","accepted name","Elephantulus","Mammalia"
"335","Mastomys coucha","Animalia","Mammalia","Rodentia","1488","Mastomys coucha","Muridae","accepted name","Mastomys","Mammalia"
"336","Rhabdomys dilectus","Animalia","Mammalia","Rodentia","1488","Rhabdomys dilectus","Muridae","accepted name","Rhabdomys","Mammalia"
"337","Elephas maximus","Animalia","Mammalia","Proboscidea","1658","Elephas maximus","Elephantidae","accepted name","Elephas","Mammalia"
"338","Acrocodia indica","Animalia","Mammalia","Perissodactyla","1658","Tapirus indicus","Tapiridae","accepted name","Acrocodia","Mammalia"
"339","Loxodonta africana","Animalia","Mammalia","Proboscidea","1732","Loxodonta africana","Elephantidae","accepted name","Loxodonta","Loxodonta africana"
"340","Loxodonta africana","Animalia","Mammalia","Proboscidea","3839","Loxodonta africana","Elephantidae","accepted name","Loxodonta","Mammalia"
"341","Damaliscus lunatus","Animalia","Mammalia","Artiodactyla","3839","Damaliscus lunatus","Bovidae","accepted name","Damaliscus","Mammalia"
"342","Apodemus sylvaticus","Animalia","Mammalia","Rodentia","3991","Apodemus sylvaticus","Muridae","accepted name","Apodemus","Apodemus sylvaticus"
"343","Rattus colletti","Animalia","Mammalia","Rodentia","4027","Rattus colletti","Muridae","accepted name","Rattus","Animalia"
"344","Liasis fuscus","Animalia","Reptilia","Squamata","4027","Liasis fuscus","Pythonidae","accepted name","Liasis","Animalia"
"345","Liasis mackloti","Animalia","Reptilia","Squamata","4027","Liasis fuscus","Pythonidae","accepted name","Liasis","Animalia"
"346","Canis simensis","Animalia","Mammalia","Carnivora","866","Canis simensis","Canidae","accepted name","Canis","Canis simensis"
"347","Lynx pardinus","Animalia","Mammalia","Carnivora","3455","Lynx pardinus","Felidae","accepted name","Lynx","Animalia"
"348","Genetta genetta","Animalia","Mammalia","Carnivora","3455","Genetta genetta","Viverridae","accepted name","Genetta","Animalia"
"349","Milvus migrans","Animalia","Aves","Accipitriformes","3455","Milvus migrans","Accipitridae","accepted name","Milvus","Animalia"
"350","Milvus milvus","Animalia","Aves","Accipitriformes","3455","Milvus milvus","Accipitridae","accepted name","Milvus","Animalia"
"351","Lutra lutra","Animalia","Mammalia","Carnivora","1537","Lutra lutra","Mustelidae","accepted name","Lutra","Lutra lutra"
"352","Martes martes","Animalia","Mammalia","Carnivora","2489","Martes martes","Mustelidae","accepted name","Martes","Martes martes"
"353","Cryptoprocta ferox","Animalia","Mammalia","Carnivora","4491","Cryptoprocta ferox","Eupleridae","accepted name","Cryptoprocta","Cryptoprocta ferox"
"354","Zalophus wollebaeki","Animalia","Mammalia","Carnivora","3783","Zalophus wollebaeki","Otariidae","accepted name","Zalophus","Zalophus wollebaeki"
"355","Pusa hispida","Animalia","Mammalia","Carnivora","3719","Pusa hispida","Phocidae","accepted name","Pusa","Pusa hispida"
"356","Cyclopes didactylus","Animalia","Mammalia","Pilosa","3974","Cyclopes didactylus","Cyclopedidae","accepted name","Cyclopes","Cyclopes didactylus"
"357","Tapirus terrestris","Animalia","Mammalia","Perissodactyla","3807","Tapirus terrestris","Tapiridae","accepted name","Tapirus","Tapirus terrestris"
"358","Diceros bicornis","Animalia","Mammalia","Perissodactyla","3800","Diceros bicornis","Rhinocerotidae","accepted name","Diceros","Diceros bicornis"
"359","Rhinoceros unicornis","Animalia","Mammalia","Perissodactyla","150","Rhinoceros unicornis","Rhinocerotidae","accepted name","Rhinoceros","Rhinoceros unicornis"
"360","Rhinoceros unicornis","Animalia","Mammalia","Perissodactyla","3813","Rhinoceros unicornis","Rhinocerotidae","accepted name","Rhinoceros","Rhinoceros unicornis"
"361","Catagonus wagneri","Animalia","Mammalia","Artiodactyla","156","Catagonus wagneri","Tayassuidae","accepted name","Catagonus","Catagonus wagneri"
"362","Hippopotamus amphibius","Animalia","Mammalia","Artiodactyla","2325","Hippopotamus amphibius","Hippopotamidae","accepted name","Hippopotamus","Hippopotamus amphibius"
"363","Hippopotamus amphibius","Animalia","Mammalia","Artiodactyla","2807","Hippopotamus amphibius","Hippopotamidae","accepted name","Hippopotamus","Hippopotamus amphibius"
"364","Vicugna vicugna","Animalia","Mammalia","Artiodactyla","881","Vicugna vicugna","Camelidae","accepted name","Vicugna","Vicugna vicugna"
"365","Giraffa camelopardalis","Animalia","Mammalia","Artiodactyla","4183","Giraffa camelopardalis","Giraffidae","accepted name","Giraffa","Giraffa camelopardalis"
"366","Hippocamelus bisulcus","Animalia","Mammalia","Artiodactyla","3009","Hippocamelus bisulcus","Cervidae","accepted name","Hippocamelus","Hippocamelus bisulcus"
"367","Gazella gazella","Animalia","Mammalia","Artiodactyla","3803","Gazella gazella","Bovidae","accepted name","Gazella","Gazella gazella"
"368","Procapra gutturosa","Animalia","Mammalia","Artiodactyla","1350","Procapra gutturosa","Bovidae","accepted name","Procapra","Procapra gutturosa"
"369","Saiga tatarica","Animalia","Mammalia","Artiodactyla","45","Saiga tatarica","Bovidae","accepted name","Saiga","Saiga tatarica"
"370","Saiga tatarica","Animalia","Mammalia","Artiodactyla","374","Saiga tatarica","Bovidae","accepted name","Saiga","Saiga tatarica"
"371","Tragelaphus buxtoni","Animalia","Mammalia","Artiodactyla","783","Tragelaphus buxtoni","Bovidae","accepted name","Tragelaphus","Tragelaphus buxtoni"
"372","Capra pyrenaica","Animalia","Mammalia","Artiodactyla","1337","Capra pyrenaica","Bovidae","accepted name","Capra","Capra pyrenaica"
"373","Hemitragus hylocrius","Animalia","Mammalia","Artiodactyla","108","Hemitragus hylocrius","Bovidae","accepted name","Hemitragus","Hemitragus hylocrius"
"374","Oryx leucoryx","Animalia","Mammalia","Artiodactyla","1339","Oryx leucoryx","Bovidae","accepted name","Oryx","Oryx leucoryx"
"375","Oryx leucoryx","Animalia","Mammalia","Artiodactyla","1378","Oryx leucoryx","Bovidae","accepted name","Oryx","Oryx leucoryx"
"376","Pteropus voeltzkowi","Animalia","Mammalia","Chiroptera","880","Pteropus voeltzkowi","Pteropodidae","accepted name","Pteropus","Pteropus"
"377","Pteropus voeltzkowi","Animalia","Mammalia","Chiroptera","880","P. voeltzkowi","Pteropodidae","accepted name","Pteropus","Pteropus"
"378","Coleura seychellensis","Animalia","Mammalia","Chiroptera","3857","Coleura seychellensis","Emballonuridae","accepted name","Coleura","Coleura seychellensis"
"379","Saccostomus mearnsi","Animalia","Mammalia","Rodentia","4178","Saccostomus mearnsi","Nesomyidae","accepted name","Saccostomus","Animalia"
"380","Psammophis mossambicus","Animalia","Reptilia","Squamata","4178","Psammophis mossambicus","Lamprophiidae","accepted name","Psammophis","Animalia"
"381","Neomys fodiens","Animalia","Mammalia","Soricomorpha","1197","Neomys fodiens","Soricidae","accepted name","Neomys","Neomys fodiens"
"382","Sarcophilus harrisii","Animalia","Mammalia","Dasyuromorphia","2013","Sarcophilus harrisii","Dasyuridae","accepted name","Sarcophilus","Sarcophilus harrisii"
"383","Sotalia guianensis","Animalia","Mammalia","Cetacea","2664","Sotalia guianensis","Delphinidae","accepted name","Sotalia","Sotalia guianensis"
"384","Sotalia guianensis","Animalia","Mammalia","Cetacea","2673","Sotalia guianensis","Delphinidae","accepted name","Sotalia","Sotalia"
"385","Sotalia guianensis","Animalia","Mammalia","Cetacea","2673","S. guianensis","Delphinidae","accepted name","Sotalia","Sotalia"
"386","Urocitellus parryii","Animalia","Mammalia","Rodentia","3989","Urocitellus parryii","Sciuridae","accepted name","Urocitellus","Urocitellus parryii"
"387","Abrothrix longipilis","Animalia","Mammalia","Rodentia","1356","Abrothrix longipilis","Cricetidae","accepted name","Abrothrix","Abrothrix longipilis"
"388","Pygoscelis adeliae","Animalia","Aves","Sphenisciformes","3745","Pygoscelis adeliae","Spheniscidae","accepted name","Pygoscelis","Pygoscelis"
"389","Pygoscelis antarcticus","Animalia","Aves","Sphenisciformes","3745","Pygoscelis antarctica","Spheniscidae","accepted name","Pygoscelis","Pygoscelis"
"390","Pygoscelis adeliae","Animalia","Aves","Sphenisciformes","4041","Pygoscelis adeliae","Spheniscidae","accepted name","Pygoscelis","Pygoscelis"
"391","Pygoscelis papua","Animalia","Aves","Sphenisciformes","4041","Pygoscelis papua","Spheniscidae","accepted name","Pygoscelis","Pygoscelis"
"392","Pygoscelis antarcticus","Animalia","Aves","Sphenisciformes","4041","Pygoscelis antarctica","Spheniscidae","accepted name","Pygoscelis","Pygoscelis"
"393","Pygoscelis papua","Animalia","Aves","Sphenisciformes","2590","Pygoscelis papua","Spheniscidae","accepted name","Pygoscelis","Pygoscelis papua"
"394","Pygoscelis papua","Animalia","Aves","Sphenisciformes","2591","Pygoscelis papua","Spheniscidae","accepted name","Pygoscelis","Spheniscidae"
"395","Aptenodytes patagonicus","Animalia","Aves","Sphenisciformes","2591","Aptenodytes patagonicus","Spheniscidae","accepted name","Aptenodytes","Spheniscidae"
"396","Eudyptes chrysolophus","Animalia","Aves","Sphenisciformes","2591","Eudyptes chrysolophus","Spheniscidae","accepted name","Eudyptes","Spheniscidae"
"397","Eudyptes chrysocome","Animalia","Aves","Sphenisciformes","2591","E. chrysocome","Spheniscidae","accepted name","Eudyptes","Spheniscidae"
"398","Pygoscelis papua","Animalia","Aves","Sphenisciformes","2609","Pygoscelis papua","Spheniscidae","accepted name","Pygoscelis","Pygoscelis papua"
"399","Aptenodytes patagonicus","Animalia","Aves","Sphenisciformes","2610","Aptenodytes patagonicus","Spheniscidae","accepted name","Aptenodytes","Aptenodytes patagonicus"
"400","Eudyptes chrysolophus","Animalia","Aves","Sphenisciformes","2592","Eudyptes chrysolophus","Spheniscidae","accepted name","Eudyptes","Eudyptes"
"401","Eudyptes chrysocome","Animalia","Aves","Sphenisciformes","2592","E. chrysocome","Spheniscidae","accepted name","Eudyptes","Eudyptes"
"402","Eudyptes chrysolophus","Animalia","Aves","Sphenisciformes","2607","Eudyptes chrysolophus","Spheniscidae","accepted name","Eudyptes","Eudyptes chrysolophus"
"403","Eudyptula minor","Animalia","Aves","Sphenisciformes","2588","Eudyptula minor","Spheniscidae","accepted name","Eudyptula","Eudyptula minor"
"404","Spheniscus demersus","Animalia","Aves","Sphenisciformes","1165","Spheniscus demersus","Spheniscidae","accepted name","Spheniscus","Spheniscus demersus"
"405","Spheniscus demersus","Animalia","Aves","Sphenisciformes","2034","Spheniscus demersus","Spheniscidae","accepted name","Spheniscus","Animalia"
"406","Sardinops sagax","Animalia","Actinopterygii","Clupeiformes","2034","Sardinops sagax","Clupeidae","accepted name","Sardinops","Animalia"
"407","Spheniscus humboldti","Animalia","Aves","Sphenisciformes","3748","Spheniscus humboldti","Spheniscidae","accepted name","Spheniscus","Spheniscus"
"408","Spheniscus magellanicus","Animalia","Aves","Sphenisciformes","3748","S. magellanicus","Spheniscidae","accepted name","Spheniscus","Spheniscus"
"409","Spheniscus mendiculus","Animalia","Aves","Sphenisciformes","1173","Spheniscus mendiculus","Spheniscidae","accepted name","Spheniscus","Spheniscus mendiculus"
"410","Spheniscus mendiculus","Animalia","Aves","Sphenisciformes","1500","Spheniscus mendiculus","Spheniscidae","accepted name","Spheniscus","Spheniscus mendiculus"
"411","Gavia adamsii","Animalia","Aves","Gaviiformes","2254","Gavia adamsii","Gaviidae","accepted name","Gavia","Gavia adamsii"
"412","Podiceps nigricollis","Animalia","Aves","Podicipediformes","172","Podiceps nigricollis","Podicipedidae","accepted name","Podiceps","Aves"
"413","Anser albifrons","Animalia","Aves","Anseriformes","172","Anser albifrons","Anatidae","accepted name","Anser","Aves"
"414","Aythya fuligula","Animalia","Aves","Anseriformes","172","Aythya fuligula","Anatidae","accepted name","Aythya","Aves"
"415","Oxyura leucocephala","Animalia","Aves","Anseriformes","172","Oxyura leucocephala","Anatidae","accepted name","Oxyura","Aves"
"416","Larus argentatus","Animalia","Aves","Charadriiformes","172","Larus argentatus","Laridae","accepted name","Larus","Aves"
"417","Colymbus nigricollis","Animalia","Aves","Podicipediformes","172","Podiceps nigricollis","Podicipedidae","accepted name","Colymbus","Aves"
"418","Diomedea exulans","Animalia","Aves","Procellariiformes","2065","Diomedea exulans","Diomedeidae","accepted name","Diomedea","Diomedea exulans"
"419","Phoebetria fusca","Animalia","Aves","Procellariiformes","3483","Phoebetria fusca","Diomedeidae","accepted name","Phoebetria","Procellariiformes"
"420","Macronectes giganteus","Animalia","Aves","Procellariiformes","3483","Macronectes giganteus","Procellariidae","accepted name","Macronectes","Procellariiformes"
"421","Thalassarche chlororhynchos","Animalia","Aves","Procellariiformes","3483","Thalassarche chlororhynchos","Diomedeidae","accepted name","Thalassarche","Procellariiformes"
"422","Diomedea dabbenena","Animalia","Aves","Procellariiformes","3483","Diomedea dabbenena","Diomedeidae","accepted name","Diomedea","Procellariiformes"
"423","Daption capense","Animalia","Aves","Procellariiformes","3502","Daption capense","Procellariidae","accepted name","Daption","Aves"
"424","Macronectes giganteus","Animalia","Aves","Procellariiformes","3502","Macronectes giganteus","Procellariidae","accepted name","Macronectes","Aves"
"425","Oceanites oceanicus","Animalia","Aves","Procellariiformes","3502","Oceanites oceanicus","Hydrobatidae","accepted name","Oceanites","Aves"
"426","Fregetta tropica","Animalia","Aves","Procellariiformes","3502","Fregetta tropica","Hydrobatidae","accepted name","Fregetta","Aves"
"427","Larus dominicanus","Animalia","Aves","Charadriiformes","3502","Larus dominicanus","Laridae","accepted name","Larus","Aves"
"428","Sterna vittata","Animalia","Aves","Charadriiformes","3502","Sterna vittata","Laridae","accepted name","Sterna","Aves"
"429","Stercorarius antarcticus","Animalia","Aves","Charadriiformes","3502","Catharacta antarctica","Stercorariidae","accepted name","Stercorarius","Aves"
"430","Pygoscelis antarcticus","Animalia","Aves","Sphenisciformes","3502","Pygoscelis antarctica","Spheniscidae","accepted name","Pygoscelis","Aves"
"431","Chionis albus","Animalia","Aves","Charadriiformes","3502","Chionis alba","Chionidae","accepted name","Chionis","Aves"
"432","Stercorarius maccormicki","Animalia","Aves","Charadriiformes","3502","C. maccormicki","Stercorariidae","accepted name","Stercorarius","Aves"
"433","Puffinus lherminieri","Animalia","Aves","Procellariiformes","4425","Puffinus lherminieri","Procellariidae","accepted name","Puffinus","Puffinus lherminieri"
"434","Pterodroma cahow","Animalia","Aves","Procellariiformes","2896","Pterodroma cahow","Procellariidae","accepted name","Pterodroma","Pterodroma cahow"
"435","Macronectes giganteus","Animalia","Aves","Procellariiformes","4424","Macronectes giganteus","Procellariidae","accepted name","Macronectes","Macronectes giganteus"
"436","Macronectes giganteus","Animalia","Aves","Procellariiformes","4433","Macronectes giganteus","Procellariidae","accepted name","Macronectes","Macronectes giganteus"
"437","Phaethon rubricauda","Animalia","Aves","Phaethontiformes","2899","Phaethon rubricauda","Phaethontidae","accepted name","Phaethon","Animalia"
"438","Sula dactylatra","Animalia","Aves","Suliformes","2899","Sula dactylatra","Sulidae","accepted name","Sula","Animalia"
"439","Fregata minor","Animalia","Aves","Suliformes","2899","Fregata minor","Fregatidae","accepted name","Fregata","Animalia"
"440","Gygis alba","Animalia","Aves","Charadriiformes","2899","Gygis alba","Laridae","accepted name","Gygis","Animalia"
"441","Onychoprion lunatus","Animalia","Aves","Charadriiformes","2899","Onychoprion lunatus","Laridae","accepted name","Onychoprion","Animalia"
"442","Gygis alba","Animalia","Reptilia","Dinosauria","2899","Gygis alba","Not assigned","accepted name","Gygis","Animalia"
"443","Pelecanus crispus","Animalia","Aves","Pelecaniformes","2230","Pelecanus crispus","Pelecanidae","accepted name","Pelecanus","Aves"
"444","Phalacrocorax carbo","Animalia","Aves","Suliformes","2230","Phalacrocorax carbo","Phalacrocoracidae","accepted name","Phalacrocorax","Aves"
"445","Ardea cinerea","Animalia","Aves","Pelecaniformes","2230","Ardea cinerea","Ardeidae","accepted name","Ardea","Aves"
"446","Nycticorax nycticorax","Animalia","Aves","Pelecaniformes","2230","Nycticorax nycticorax","Ardeidae","accepted name","Nycticorax","Aves"
"447","Ardeola ralloides","Animalia","Aves","Pelecaniformes","2230","Ardeola ralloides","Ardeidae","accepted name","Ardeola","Aves"
"448","Platalea leucorodia","Animalia","Aves","Pelecaniformes","2230","Platalea leucorodia","Threskiornithidae","accepted name","Platalea","Aves"
"449","Microcarbo pygmeus","Animalia","Aves","Suliformes","2230","Phalacrocorax pygmeus","Phalacrocoracidae","accepted name","Microcarbo","Aves"
"450","Pelecanus crispus","Animalia","Aves","Pelecaniformes","2780","Pelecanus crispus","Pelecanidae","accepted name","Pelecanus","Pelecanus crispus"
"451","Pelecanus crispus","Animalia","Aves","Pelecaniformes","3789","Pelecanus crispus","Pelecanidae","accepted name","Pelecanus","Aves"
"452","Phalacrocorax carbo","Animalia","Aves","Suliformes","3789","Phalacrocorax carbo","Phalacrocoracidae","accepted name","Phalacrocorax","Aves"
"453","Ardea cinerea","Animalia","Aves","Pelecaniformes","3789","Ardea cinerea","Ardeidae","accepted name","Ardea","Aves"
"454","Egretta garzetta","Animalia","Aves","Pelecaniformes","3789","Egretta garzetta","Ardeidae","accepted name","Egretta","Aves"
"455","Nycticorax nycticorax","Animalia","Aves","Pelecaniformes","3789","Nycticorax nycticorax","Ardeidae","accepted name","Nycticorax","Aves"
"456","Ardeola ralloides","Animalia","Aves","Pelecaniformes","3789","Ardeola ralloides","Ardeidae","accepted name","Ardeola","Aves"
"457","Plegadis falcinellus","Animalia","Aves","Pelecaniformes","3789","Plegadis falcinellus","Threskiornithidae","accepted name","Plegadis","Aves"
"458","Platalea leucorodia","Animalia","Aves","Pelecaniformes","3789","Platalea leucorodia","Threskiornithidae","accepted name","Platalea","Aves"
"459","Chlidonias hybrida","Animalia","Aves","Charadriiformes","3789","Chlidonias hybrida","Laridae","accepted name","Chlidonias","Aves"
"460","Larus ridibundus","Animalia","Aves","Charadriiformes","3789","Larus ridibundus","Laridae","accepted name","Larus","Aves"
"461","Ardea alba","Animalia","Aves","Pelecaniformes","3789","Egretta alba","Ardeidae","accepted name","Ardea","Aves"
"462","Microcarbo pygmeus","Animalia","Aves","Suliformes","3789","Phalacrocorax pygmeus","Phalacrocoracidae","accepted name","Microcarbo","Aves"
"463","Chroicocephalus ridibundus","Animalia","Aves","Charadriiformes","3789","Larus ridibundus","Laridae","accepted name","Chroicocephalus","Aves"
"464","Phalacrocorax carbo","Animalia","Aves","Suliformes","2234","Phalacrocorax carbo","Phalacrocoracidae","accepted name","Phalacrocorax","Aves"
"465","Ixobrychus minutus","Animalia","Aves","Pelecaniformes","2234","Ixobrychus minutus","Ardeidae","accepted name","Ixobrychus","Aves"
"466","Botaurus stellaris","Animalia","Aves","Pelecaniformes","2234","Botaurus stellaris","Ardeidae","accepted name","Botaurus","Aves"
"467","Ardeola ralloides","Animalia","Aves","Pelecaniformes","2234","Ardeola ralloides","Ardeidae","accepted name","Ardeola","Aves"
"468","Ciconia ciconia","Animalia","Aves","Ciconiiformes","2234","Ciconia ciconia","Ciconiidae","accepted name","Ciconia","Aves"
"469","Plegadis falcinellus","Animalia","Aves","Pelecaniformes","2234","Plegadis falcinellus","Threskiornithidae","accepted name","Plegadis","Aves"
"470","Platalea leucorodia","Animalia","Aves","Pelecaniformes","2234","Platalea leucorodia","Threskiornithidae","accepted name","Platalea","Aves"
"471","Anser anser","Animalia","Aves","Anseriformes","2234","Anser anser","Anatidae","accepted name","Anser","Aves"
"472","Aquila pomarina","Animalia","Aves","Accipitriformes","2234","Aquila pomarina","Accipitridae","accepted name","Aquila","Aves"
"473","Porphyrio porphyrio","Animalia","Aves","Gruiformes","2234","Porphyrio porphyrio","Rallidae","accepted name","Porphyrio","Aves"
"474","Glareola nordmanni","Animalia","Aves","Charadriiformes","2234","Glareola nordmanni","Glareolidae","accepted name","Glareola","Aves"
"475","Corvus frugilegus","Animalia","Aves","Passeriformes","2234","Corvus frugilegus","Corvidae","accepted name","Corvus","Aves"
"476","Phoenicopterus roseus","Animalia","Aves","Phoenicopteriformes","2234","Phoenicopterus roseus","Phoenicopteridae","accepted name","Phoenicopterus","Aves"
"477","Glareola pratincola","Animalia","Aves","Charadriiformes","2234","G. pratincola","Glareolidae","accepted name","Glareola","Aves"
"478","Ardea alba","Animalia","Aves","Pelecaniformes","2234","Casmerodius albus","Ardeidae","accepted name","Ardea","Aves"
"479","Phalacrocorax auritus","Animalia","Aves","Suliformes","4430","Phalacrocorax auritus","Phalacrocoracidae","accepted name","Phalacrocorax","Aves"
"480","Uria aalge","Animalia","Aves","Charadriiformes","4430","Uria aalge","Alcidae","accepted name","Uria","Aves"
"481","Phalacrocorax gaimardi","Animalia","Aves","Suliformes","4036","Phalacrocorax gaimardi","Phalacrocoracidae","accepted name","Phalacrocorax","Phalacrocorax gaimardi"
"482","Ardea purpurea","Animalia","Aves","Pelecaniformes","2244","Ardea purpurea","Ardeidae","accepted name","Ardea","Aves"
"483","Botaurus stellaris","Animalia","Aves","Pelecaniformes","2244","Botaurus stellaris","Ardeidae","accepted name","Botaurus","Aves"
"484","Rallus aquaticus","Animalia","Aves","Gruiformes","2244","Rallus aquaticus","Rallidae","accepted name","Rallus","Aves"
"485","Acrocephalus melanopogon","Animalia","Aves","Passeriformes","2244","Acrocephalus melanopogon","Acrocephalidae","accepted name","Acrocephalus","Aves"
"486","Circus aeruginosus","Animalia","Aves","Accipitriformes","2244","Circus aeruginosus","Accipitridae","accepted name","Circus","Aves"
"487","Botaurus stellaris","Animalia","Aves","Pelecaniformes","93","Botaurus stellaris","Ardeidae","accepted name","Botaurus","Botaurus stellaris"
"488","Botaurus stellaris","Animalia","Aves","Pelecaniformes","1408","Botaurus stellaris","Ardeidae","accepted name","Botaurus","Animalia"
"489","Cyprinus carpio","Animalia","Actinopterygii","Cypriniformes","1408","Cyprinus carpio","Cyprinidae","accepted name","Cyprinus","Animalia"
"490","Gambusia affinis","Animalia","Actinopterygii","Cyprinodontiformes","1408","Gambusia affinis","Poeciliidae","accepted name","Gambusia","Animalia"
"491","Gambusia marshi","Animalia","Actinopterygii","Cyprinodontiformes","1408","Gambusia affinis","Poeciliidae","accepted name","Gambusia","Animalia"
"492","Ciconia ciconia","Animalia","Aves","Ciconiiformes","2496","Ciconia ciconia","Ciconiidae","accepted name","Ciconia","Ciconia ciconia"
"493","Ciconia ciconia","Animalia","Aves","Ciconiiformes","2499","Ciconia ciconia","Ciconiidae","accepted name","Ciconia","Ciconia ciconia"
"494","Ciconia ciconia","Animalia","Aves","Ciconiiformes","2906","Ciconia ciconia","Ciconiidae","accepted name","Ciconia","Ciconia ciconia"
"495","Platalea leucorodia","Animalia","Aves","Pelecaniformes","3270","Platalea leucorodia","Threskiornithidae","accepted name","Platalea","Aves"
"496","Tadorna tadorna","Animalia","Aves","Anseriformes","3270","Tadorna tadorna","Anatidae","accepted name","Tadorna","Aves"
"497","Anas penelope","Animalia","Aves","Anseriformes","3270","Anas penelope","Anatidae","accepted name","Anas","Aves"
"498","Recurvirostra avosetta","Animalia","Aves","Charadriiformes","3270","Recurvirostra avosetta","Recurvirostridae","accepted name","Recurvirostra","Aves"
"499","Himantopus himantopus","Animalia","Aves","Charadriiformes","3270","Himantopus himantopus","Recurvirostridae","accepted name","Himantopus","Aves"
"500","Glareola pratincola","Animalia","Aves","Charadriiformes","3270","Glareola pratincola","Glareolidae","accepted name","Glareola","Aves"
"501","Gelochelidon nilotica","Animalia","Aves","Charadriiformes","3270","Gelochelidon nilotica","Laridae","accepted name","Gelochelidon","Aves"
"502","Sterna hirundo","Animalia","Aves","Charadriiformes","3270","Sterna hirundo","Laridae","accepted name","Sterna","Aves"
"503","Ardea alba","Animalia","Aves","Pelecaniformes","3270","Egretta alba","Ardeidae","accepted name","Ardea","Aves"
"504","Chroicocephalus genei","Animalia","Aves","Charadriiformes","3270","Larus genei","Laridae","accepted name","Chroicocephalus","Aves"
"505","Ichthyaetus melanocephalus","Animalia","Aves","Charadriiformes","3270","Larus melanocephalus","Laridae","accepted name","Ichthyaetus","Aves"
"506","Sternula albifrons","Animalia","Aves","Charadriiformes","3270","S. albifrons","Laridae","accepted name","Sternula","Aves"
"507","Phoenicopterus ruber","Animalia","Aves","Phoenicopteriformes","1269","Phoenicopterus ruber","Phoenicopteridae","accepted name","Phoenicopterus","Phoenicopteridae"
"508","Phoeniconaias minor","Animalia","Aves","Phoenicopteriformes","1269","Phoeniconaias minor","Phoenicopteridae","accepted name","Phoeniconaias","Phoenicopteridae"
"509","Cygnus columbianus","Animalia","Aves","Anseriformes","3165","Cygnus columbianus","Anatidae","accepted name","Cygnus","Cygnus columbianus"
"510","Cygnus columbianus","Animalia","Aves","Anseriformes","3166","Cygnus columbianus","Anatidae","accepted name","Cygnus","Cygnus columbianus"
"511","Cygnus columbianus","Animalia","Aves","Anseriformes","3391","Cygnus columbianus","Anatidae","accepted name","Cygnus","Anatidae"
"512","Branta canadensis","Animalia","Aves","Anseriformes","3391","Branta canadensis","Anatidae","accepted name","Branta","Anatidae"
"513","Anser albifrons","Animalia","Aves","Anseriformes","3391","Anser albifrons","Anatidae","accepted name","Anser","Anatidae"
"514","Clangula hyemalis","Animalia","Aves","Anseriformes","3391","Clangula hyemalis","Anatidae","accepted name","Clangula","Anatidae"
"515","Somateria spectabilis","Animalia","Aves","Anseriformes","3391","Somateria spectabilis","Anatidae","accepted name","Somateria","Anatidae"
"516","Chen caerulescens","Animalia","Aves","Anseriformes","3391","Anser caerulescens","Anatidae","accepted name","Chen","Anatidae"
"517","Branta bernicla","Animalia","Aves","Anseriformes","701","Branta bernicla","Anatidae","accepted name","Branta","Anatidae"
"518","Aythya americana","Animalia","Aves","Anseriformes","701","Aythya americana","Anatidae","accepted name","Aythya","Anatidae"
"519","Anas acuta","Animalia","Aves","Anseriformes","701","A. acuta","Anatidae","accepted name","Anas","Anatidae"
"520","Branta bernicla","Animalia","Aves","Anseriformes","2133","Branta bernicla","Anatidae","accepted name","Branta","Branta bernicla"
"521","Branta bernicla","Animalia","Aves","Anseriformes","3180","Branta bernicla","Anatidae","accepted name","Branta","Branta bernicla"
"522","Branta bernicla","Animalia","Aves","Anseriformes","3397","Branta bernicla","Anatidae","accepted name","Branta","Branta bernicla"
"523","Anser albifrons","Animalia","Aves","Anseriformes","3206","Anser albifrons","Anatidae","accepted name","Anser","Anser albifrons"
"524","Anser albifrons","Animalia","Aves","Anseriformes","3207","Anser albifrons","Anatidae","accepted name","Anser","Anser albifrons"
"525","Anser anser","Animalia","Aves","Anseriformes","953","Anser anser","Anatidae","accepted name","Anser","Anser"
"526","Anser brachyrhynchus","Animalia","Aves","Anseriformes","953","Anser brachyrhynchus","Anatidae","accepted name","Anser","Anser"
