"","RN","Trend_01_60","Trend_02_60","Trend_05_60","Trend_01_maj","Trend_02_maj","Trend_05_maj","Trend_sig_01_60","Trend_sig_005_60","Trend_sig_01_maj","Trend_sig_005_maj","av_lmbd","loCI","upCI","se","p","N","Trend_meta_01","Trend_meta_005"
"136",1016,"Varied","Varied","Stable","Varied","Varied","Stable","Varied","Varied","Varied","Varied",0.0101793781189701,-0.0253135855635216,0.0456723418014617,0.0181089876969453,0.57403599493826,2,"Stable","Stable"
"137",1033,"Increase","Varied","Varied","Increase","Varied","Stable","Increase","Increase","Increase","Increase",0.0397618123722382,0.00465712760874061,0.0748664971357359,0.0179108825674344,0.0264200824839602,6,"Increase","Increase"
"138",1036,"Stable","Stable","Stable","Stable","Stable","Stable","Varied","Varied","Decline","Decline",-0.00375058741940412,-0.0109117212007834,0.00341054636197521,0.00365370682209746,0.304648566670585,5,"Stable","Stable"
"139",1039,"Increase","Varied","Stable","Increase","Varied","Stable","Stable","Stable","Stable","Stable",0.0182731057075649,0.0149302794363415,0.0216159319787883,0.00170555494773945,8.7614185162874e-27,12,"Increase","Increase"
"140",1043,"Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable",0.000998868800221002,-0.00893334316327392,0.0109310807637159,NA,0.422728563060347,1,"Stable","Stable"
"141",1046,"Decline","Stable","Stable","Decline","Stable","Stable","Stable","Stable","Stable","Stable",-0.0131904577803202,-0.109788628394452,0.0834077128338113,NA,0.756210276601655,1,"Stable","Stable"
"142",1048,"Varied","Stable","Stable","Varied","Stable","Stable","Stable","Stable","Stable","Stable",0.00346179509959705,-0.0102575605036533,0.0171811507028474,0.00699979984911299,0.620913357250257,2,"Stable","Stable"
"143",1053,"Increase","Increase","Stable","Increase","Increase","Stable","Increase","Increase","Increase","Increase",0.022376075170125,0.011837543050817,0.032914607289433,NA,0.000450293881410625,1,"Increase","Increase"
"144",1055,"Stable","Stable","Stable","Stable","Stable","Stable","Decline","Decline","Decline","Decline",-0.00399600025426726,-0.00485395646296075,-0.00313804404557377,NA,1.07733933156374e-10,1,"Decline","Decline"
"145",1084,"Increase","Increase","Stable","Increase","Increase","Stable","Increase","Increase","Increase","Increase",0.024744981088814,0.0147633593184615,0.0347266028591664,NA,2.24002769759955e-05,1,"Increase","Increase"
